_id,gigsterApproved,pmApproved,seApproved
ObjectId(546f5e418ab9a90200f72e47),%!s(bool=false),,
ObjectId(546f5e4f8ab9a90200f72e48),%!s(bool=false),,
ObjectId(546f5e718ab9a90200f72e49),%!s(bool=false),,
ObjectId(546f5ece8ab9a90200f72e4d),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(546f5fda8ab9a90200f72e5b),%!s(bool=false),,
ObjectId(546f60a48ab9a90200f72e61),%!s(bool=false),,
ObjectId(546f60d38ab9a90200f72e64),%!s(bool=false),,
ObjectId(546f61148ab9a90200f72e6d),%!s(bool=false),,
ObjectId(546f62428ab9a90200f72e76),%!s(bool=false),,
ObjectId(546f63108ab9a90200f72e78),%!s(bool=false),%!s(bool=true),%!s(bool=false)
ObjectId(546f640f8ab9a90200f72e7d),%!s(bool=false),,
ObjectId(546f66788ab9a90200f72e88),%!s(bool=false),,
ObjectId(546f66c68ab9a90200f72e8e),%!s(bool=false),,
ObjectId(546f67488ab9a90200f72e95),%!s(bool=false),,
ObjectId(546f67648ab9a90200f72e98),%!s(bool=false),,
ObjectId(546f676e8ab9a90200f72e99),%!s(bool=false),,
ObjectId(546f67748ab9a90200f72e9a),%!s(bool=false),,
ObjectId(546f685b8ab9a90200f72ea1),%!s(bool=false),,
ObjectId(546f69088ab9a90200f72ead),%!s(bool=false),,
ObjectId(546f690f8ab9a90200f72eae),%!s(bool=false),,
ObjectId(546f6b388ab9a90200f72ecb),%!s(bool=false),,
ObjectId(546f6cad8ab9a90200f72ed0),%!s(bool=false),,
ObjectId(546f6db78ab9a90200f72ed7),%!s(bool=false),%!s(bool=false),%!s(bool=false)
ObjectId(546f6dbf8ab9a90200f72ed8),%!s(bool=false),,
ObjectId(546f6e1a8ab9a90200f72ede),%!s(bool=false),,
ObjectId(546f6f118ab9a90200f72eee),%!s(bool=false),,
ObjectId(546f6f8a8ab9a90200f72ef2),%!s(bool=false),,
ObjectId(546f6f8c8ab9a90200f72ef3),%!s(bool=false),,
ObjectId(546f70478ab9a90200f72f02),%!s(bool=false),,
ObjectId(546f72019a733902003db37c),%!s(bool=false),,
ObjectId(546f73409a733902003db390),%!s(bool=false),,
ObjectId(546f74da9a733902003db3b9),%!s(bool=false),,
ObjectId(546f763d9a733902003db3be),%!s(bool=false),,
ObjectId(546f767b9a733902003db3c3),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(546f788f9a733902003db3d0),%!s(bool=false),,
ObjectId(546f7b399a733902003db3e0),%!s(bool=false),,
ObjectId(546f7da09a733902003db3f7),%!s(bool=false),,
ObjectId(546f7e709a733902003db404),%!s(bool=false),,
ObjectId(546f7f359a733902003db40a),%!s(bool=false),,
ObjectId(546f836c9a733902003db456),%!s(bool=false),,
ObjectId(546f84419a733902003db460),%!s(bool=false),,
ObjectId(546f84ac9a733902003db465),%!s(bool=false),,
ObjectId(546f853c9a733902003db46f),%!s(bool=false),,
ObjectId(546f86f69a733902003db47b),%!s(bool=false),,
ObjectId(546f886c9a733902003db48d),%!s(bool=false),,
ObjectId(546f886d9a733902003db48e),%!s(bool=false),,
ObjectId(546f89de9a733902003db493),%!s(bool=false),,
ObjectId(546f8bcc9a733902003db49f),%!s(bool=false),,
ObjectId(546f8dc99a733902003db4a1),%!s(bool=false),,
ObjectId(546f8ec99a733902003db4a8),%!s(bool=false),,
ObjectId(546f8f219a733902003db4ab),%!s(bool=false),,
ObjectId(546f8fa29a733902003db4ae),%!s(bool=false),,
ObjectId(546f91f69a733902003db4b5),%!s(bool=false),,
ObjectId(546f92929a733902003db4b8),%!s(bool=false),,
ObjectId(546f93749a733902003db4ba),%!s(bool=false),,
ObjectId(546f957b9a733902003db4d2),%!s(bool=false),,
ObjectId(546f963aca3f2c0200d52e0b),%!s(bool=false),,
ObjectId(546f9ab1ca3f2c0200d52e1c),%!s(bool=false),,
ObjectId(546f9ac7ca3f2c0200d52e1d),%!s(bool=false),,
ObjectId(546f9b71ca3f2c0200d52e23),%!s(bool=false),,
ObjectId(546f9d8cca3f2c0200d52e2d),%!s(bool=false),,
ObjectId(546f9dafca3f2c0200d52e32),%!s(bool=false),,
ObjectId(546f9e59ca3f2c0200d52e49),%!s(bool=false),,
ObjectId(546f9f5eca3f2c0200d52e52),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(546fa070ca3f2c0200d52e56),%!s(bool=false),,
ObjectId(546fa12aca3f2c0200d52e5d),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(546fa979f65f5d0200855548),%!s(bool=false),,
ObjectId(546faab4f65f5d020085554c),%!s(bool=false),,
ObjectId(546fac98f65f5d020085556f),%!s(bool=false),,
ObjectId(546fad99f65f5d020085557b),%!s(bool=false),,
ObjectId(546fb44e0bce9a0200f45dff),%!s(bool=false),,
ObjectId(546fb45c0bce9a0200f45e01),%!s(bool=false),,
ObjectId(546fb4860bce9a0200f45e02),%!s(bool=false),,
ObjectId(546fb52b0bce9a0200f45e0a),%!s(bool=false),,
ObjectId(546fb91b0bce9a0200f45e1e),%!s(bool=false),,
ObjectId(546fb96e0bce9a0200f45e20),%!s(bool=false),,
ObjectId(546fb9ed0bce9a0200f45e24),%!s(bool=false),,
ObjectId(546fba3c0bce9a0200f45e27),%!s(bool=false),,
ObjectId(546fbc160bce9a0200f45e2b),%!s(bool=false),,
ObjectId(546fbc600bce9a0200f45e30),%!s(bool=false),,
ObjectId(546fbd952336b30200a6a263),%!s(bool=false),,
ObjectId(546fbe002336b30200a6a265),%!s(bool=false),,
ObjectId(546fbf523e59fc0200603554),%!s(bool=false),,
ObjectId(546fbf593e59fc0200603555),%!s(bool=false),,
ObjectId(546fc0d93e59fc0200603558),%!s(bool=false),,
ObjectId(546fc2333e59fc0200603561),%!s(bool=false),,
ObjectId(546fc2e63e59fc0200603565),%!s(bool=false),,
ObjectId(546fc3333e59fc0200603566),%!s(bool=false),,
ObjectId(546fc6d13e59fc0200603573),%!s(bool=false),,
ObjectId(546fc8363e59fc020060357a),%!s(bool=false),,
ObjectId(546fcf2f70a15f02006f326a),%!s(bool=false),,
ObjectId(546fd5d970a15f02006f3274),%!s(bool=false),,
ObjectId(546fdc8270a15f02006f3280),%!s(bool=false),,
ObjectId(546fdeca70a15f02006f3287),%!s(bool=false),,
ObjectId(546fe15e70a15f02006f328f),%!s(bool=false),,
ObjectId(546fe5e870a15f02006f329e),%!s(bool=false),,
ObjectId(546feb8f70a15f02006f32a7),%!s(bool=false),,
ObjectId(546feead70a15f02006f32b0),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(546ff492d4d6480200587098),%!s(bool=false),,
ObjectId(546ff733d4d64802005870a2),%!s(bool=false),,
ObjectId(546ffbded4d64802005870ac),%!s(bool=false),,
ObjectId(546ffd4ed4d64802005870b0),%!s(bool=false),,
ObjectId(547000d2d4d64802005870ba),%!s(bool=false),,
ObjectId(547000e1d4d64802005870bb),%!s(bool=false),,
ObjectId(5470175fd4d64802005870d6),%!s(bool=false),,
ObjectId(54703091d4d64802005870f4),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(547030d8d4d64802005870f6),%!s(bool=false),,
ObjectId(547035ced4d6480200587100),%!s(bool=false),,
ObjectId(54704b3bd4d6480200587114),%!s(bool=false),,
ObjectId(54705280d4d648020058711d),%!s(bool=false),,
ObjectId(547053d3d4d6480200587120),%!s(bool=false),,
ObjectId(547056b0d4d6480200587123),%!s(bool=false),,
ObjectId(547064cad4d648020058712c),%!s(bool=false),,
ObjectId(54707a39d4d648020058713a),%!s(bool=false),,
ObjectId(54708b2bd4d648020058714b),%!s(bool=false),,
ObjectId(547092f1d4d6480200587150),%!s(bool=false),,
ObjectId(547093d4d4d6480200587152),%!s(bool=false),,
ObjectId(54709f65d4d648020058715a),%!s(bool=false),,
ObjectId(5470a32bd4d648020058715d),%!s(bool=false),,
ObjectId(5470a877d4d6480200587160),%!s(bool=false),,
ObjectId(5470acdad4d6480200587168),%!s(bool=false),,
ObjectId(5470b420d4d648020058716c),%!s(bool=false),,
ObjectId(5470b8e5d4d6480200587174),%!s(bool=false),,
ObjectId(5470d1cdd4d648020058718a),%!s(bool=false),,
ObjectId(5470d792d4d648020058718d),%!s(bool=false),,
ObjectId(5470e351f2b1c80200973837),%!s(bool=false),,
ObjectId(5470e57af2b1c8020097383e),%!s(bool=false),,
ObjectId(5470e5baf2b1c80200973841),%!s(bool=false),,
ObjectId(5470f342f2b1c80200973853),%!s(bool=false),,
ObjectId(5470fb77f2b1c8020097385e),%!s(bool=false),%!s(bool=false),%!s(bool=false)
ObjectId(54710a36f2b1c8020097386e),%!s(bool=false),,
ObjectId(54711d73f2b1c80200973876),%!s(bool=false),,
ObjectId(54712c6ff2b1c8020097387f),%!s(bool=false),,
ObjectId(54717616f2b1c802009738b2),%!s(bool=false),,
ObjectId(54718de3f2b1c802009738bb),%!s(bool=false),,
ObjectId(547192f7f2b1c802009738bd),%!s(bool=false),,
ObjectId(5471ac62f2b1c802009738c6),%!s(bool=false),,
ObjectId(5471bc91f2b1c802009738d3),%!s(bool=false),,
ObjectId(5471ebc5f2b1c802009738db),%!s(bool=false),,
